"value_column","statistic_edible_parts","p_value_edible_parts","significance_edible_parts","statistic_location","p_value_location","significance_location","statistic_species_part_location","p_value_species_part_location","significance_species_part_location","statistic_domesticated","p_value_domesticated","significance_domesticated"
"AVERAGE_Ash_FW_percent",42.5060146311237,0.0036324923010493,"significant",34.3887530714562,0.000158678066906583,"significant",75.5342235935827,0.396503825957958,"not statistically significant",254,0.930343939081541,"not statistically significant"
"STDEV_Ash_FW_percent",38.3251564890805,0.011802896117499,"significant",41.2342423561508,1.025595376539e-05,"significant",75.9850697825381,0.382553411869096,"not statistically significant",272,0.687615443553361,"not statistically significant"
"STDEV_Ash_FW_percent",38.3251564890805,0.011802896117499,"significant",41.2342423561508,1.025595376539e-05,"significant",75.9850697825381,0.382553411869096,"not statistically significant",272,0.687615443553361,"not statistically significant"
"AVERAGE_Carotenoid_total_DW_mg_per_kg",11.9523809523809,0.102135761762127,"not statistically significant",5.18571428571428,0.074806003026485,"not statistically significant",13,0.447811674319492,"not statistically significant",6,0.028971028971029,"significant"
"AVERAGE_Carotenoid_total_DW_mg_per_kg",11.9523809523809,0.102135761762127,"not statistically significant",5.18571428571428,0.074806003026485,"not statistically significant",13,0.447811674319492,"not statistically significant",6,0.0328973916454907,"significant"
"STDEV_Carotenoid_total_DW_mg_per_kg",11.6083333333333,0.169553082221069,"not statistically significant",3.375,0.184981399907304,"not statistically significant",14,0.449711055848699,"not statistically significant",10,0.0752580752580752,"not statistically significant"
"STDEV_Carotenoid_total_DW_mg_per_kg",11.6083333333333,0.169553082221069,"not statistically significant",3.375,0.184981399907304,"not statistically significant",14,0.449711055848699,"not statistically significant",10,0.0757526876163822,"not statistically significant"
"AVERAGE_Carotenoid_total_FW_mg_per_kg",10.8095238095238,0.147146002550684,"not statistically significant",5.44444444444445,0.0657285286165303,"not statistically significant",13,0.447811674319492,"not statistically significant",5,0.018981018981019,"significant"
"AVERAGE_Carotenoid_total_FW_mg_per_kg",10.8095238095238,0.147146002550684,"not statistically significant",5.44444444444445,0.0657285286165303,"not statistically significant",13,0.447811674319492,"not statistically significant",5,0.0234105961611167,"significant"
"STDEV_Carotenoid_total_FW_mg_per_kg",11.075,0.197485705456771,"not statistically significant",2.695,0.259889172098848,"not statistically significant",14,0.449711055848699,"not statistically significant",12,0.129204129204129,"not statistically significant"
"STDEV_Carotenoid_total_FW_mg_per_kg",11.075,0.197485705456771,"not statistically significant",2.695,0.259889172098848,"not statistically significant",14,0.449711055848699,"not statistically significant",12,0.12578642463894,"not statistically significant"
"AVERAGE_Vit_B1_DW_mg_per_kg",18.5832315832316,0.0689973347595147,"not statistically significant",15.25,0.0329250103143832,"significant",24.4529914529915,0.435952936801024,"not statistically significant",0,0.0769230769230769,"not statistically significant"
"AVERAGE_Vit_B1_DW_mg_per_kg",18.5832315832316,0.0689973347595147,"not statistically significant",15.25,0.0329250103143832,"significant",24.4529914529915,0.435952936801024,"not statistically significant",0,0.109598583399116,"not statistically significant"
"STDEV_Vit_B1_DW_mg_per_kg",15.451166032585,0.162759690354717,"not statistically significant",4.58886460662736,0.7099917416367,"not statistically significant",29.9024191908925,0.41888714292839,"not statistically significant",10.5,0.653378638565616,"not statistically significant"
"STDEV_Vit_B1_DW_mg_per_kg",15.451166032585,0.162759690354717,"not statistically significant",4.58886460662736,0.7099917416367,"not statistically significant",29.9024191908925,0.41888714292839,"not statistically significant",10.5,0.653378638565616,"not statistically significant"
"AVERAGE_Vit_B1_FW_mg_per_kg",18.3367928367928,0.0740876899956179,"not statistically significant",7.80769230769231,0.349856616420307,"not statistically significant",24.6923076923077,0.422632168763034,"not statistically significant",19,0.538461538461539,"not statistically significant"
"AVERAGE_Vit_B1_FW_mg_per_kg",18.3367928367928,0.0740876899956179,"not statistically significant",7.80769230769231,0.349856616420307,"not statistically significant",24.6923076923077,0.422632168763034,"not statistically significant",19,0.423710797166793,"not statistically significant"
"STDEV_Vit_B1_FW_mg_per_kg",18.7886790123457,0.0649938731746608,"not statistically significant",6.32106128747794,0.502800284329304,"not statistically significant",30.9081481481482,0.419932806486664,"not statistically significant",18,0.827637600884213,"not statistically significant"
"STDEV_Vit_B1_FW_mg_per_kg",18.7886790123457,0.0649938731746608,"not statistically significant",6.32106128747794,0.502800284329304,"not statistically significant",30.9081481481482,0.419932806486664,"not statistically significant",18,0.827637600884213,"not statistically significant"
"AVERAGE_Vit_C_DW_mg_per_kg",12.4344086021505,0.411451928768602,"not statistically significant",7.45120967741936,0.488822049230291,"not statistically significant",27.5725806451613,0.487260585902508,"not statistically significant",69,0.855530248188757,"not statistically significant"
"AVERAGE_Vit_C_DW_mg_per_kg",12.4344086021505,0.411451928768602,"not statistically significant",7.45120967741936,0.488822049230291,"not statistically significant",27.5725806451613,0.487260585902508,"not statistically significant",69,0.850892208310239,"not statistically significant"
"STDEV_Vit_C_DW_mg_per_kg",12.7485655866378,0.467415469055386,"not statistically significant",11.9596849392483,0.153011726498044,"not statistically significant",33.6861636997269,0.385802692985837,"not statistically significant",81.5,0.776349995391873,"not statistically significant"
"STDEV_Vit_C_DW_mg_per_kg",12.7485655866378,0.467415469055386,"not statistically significant",11.9596849392483,0.153011726498044,"not statistically significant",33.6861636997269,0.385802692985837,"not statistically significant",81.5,0.776349995391873,"not statistically significant"
"AVERAGE_Vit_C_FW_mg_per_kg",13.0698924731183,0.363981139345075,"not statistically significant",4.51209677419355,0.808221645923301,"not statistically significant",27.508064516129,0.490730023239328,"not statistically significant",72,0.735031869625863,"not statistically significant"
"AVERAGE_Vit_C_FW_mg_per_kg",13.0698924731183,0.363981139345075,"not statistically significant",4.51209677419355,0.808221645923301,"not statistically significant",27.508064516129,0.490730023239328,"not statistically significant",72,0.727009731456113,"not statistically significant"
"STDEV_Vit_C_FW_mg_per_kg",14.7166565472576,0.325373687164656,"not statistically significant",12.4438860699107,0.132470372887216,"not statistically significant",34.6842744383728,0.387542417785352,"not statistically significant",88.5,0.629153852395085,"not statistically significant"
"STDEV_Vit_C_FW_mg_per_kg",14.7166565472576,0.325373687164656,"not statistically significant",12.4438860699107,0.132470372887216,"not statistically significant",34.6842744383728,0.387542417785352,"not statistically significant",88.5,0.629153852395085,"not statistically significant"
"AVERAGE_P_DW_mg_per_100_g",20.7634071117562,0.144560380765797,"not statistically significant",21.3028872071325,0.0190777642248127,"significant",50.7793904208999,0.403296921827539,"not statistically significant",181,0.545450297104539,"not statistically significant"
"AVERAGE_P_DW_mg_per_100_g",20.7634071117562,0.144560380765797,"not statistically significant",21.3028872071325,0.0190777642248127,"significant",50.7793904208999,0.403296921827539,"not statistically significant",181,0.537478242567044,"not statistically significant"
"STDEV_P_DW_mg_per_100_g2",15.1109336294525,0.443456360467904,"not statistically significant",4.67746000422656,0.911657096263679,"not statistically significant",48.6388485521483,0.48768348377505,"not statistically significant",150,0.851097449648755,"not statistically significant"
"STDEV_P_DW_mg_per_100_g2",15.1109336294525,0.443456360467904,"not statistically significant",4.67746000422656,0.911657096263679,"not statistically significant",48.6388485521483,0.48768348377505,"not statistically significant",150,0.851097449648755,"not statistically significant"
"AVERAGE_P_FW_mg_per_100_g",30.2858490566038,0.0109314848238747,"significant",22.2131712626996,0.01405470287098,"significant",50.921625544267,0.39788535736281,"not statistically significant",222,0.086359711464462,"not statistically significant"
"AVERAGE_P_FW_mg_per_100_g",30.2858490566038,0.0109314848238747,"significant",22.2131712626996,0.01405470287098,"significant",50.921625544267,0.39788535736281,"not statistically significant",222,0.0861908987586597,"not statistically significant"
"STDEV_P_FW_mg_per_100_g",14.7818577648767,0.467241628164197,"not statistically significant",10.7882904831018,0.374248358949564,"not statistically significant",50.7358490566038,0.404959303915181,"not statistically significant",187,0.445154866899439,"not statistically significant"
"STDEV_P_FW_mg_per_100_g",14.7818577648767,0.467241628164197,"not statistically significant",10.7882904831018,0.374248358949564,"not statistically significant",50.7358490566038,0.404959303915181,"not statistically significant",187,0.4368691013639,"not statistically significant"
"AVERAGE_Mg_DW_mg_per_100_g",30.023737494998,0.0118361882628731,"significant",21.4630834879407,0.0180861341189558,"significant",47.9575510204082,0.39335030648526,"not statistically significant",120,0.457282292749023,"not statistically significant"
"AVERAGE_Mg_DW_mg_per_100_g",30.023737494998,0.0118361882628731,"significant",21.4630834879407,0.0180861341189558,"significant",47.9575510204082,0.39335030648526,"not statistically significant",120,0.44896428043818,"not statistically significant"
"STDEV_Mg_DW_mg_per_100_g",20.4210683252685,0.156368026215255,"not statistically significant",9.43907847612684,0.49100078223145,"not statistically significant",46.9410083690549,0.433722528593228,"not statistically significant",118,0.4154336967645,"not statistically significant"
"STDEV_Mg_DW_mg_per_100_g",20.4210683252685,0.156368026215255,"not statistically significant",9.43907847612684,0.49100078223145,"not statistically significant",46.9410083690549,0.433722528593228,"not statistically significant",118,0.4154336967645,"not statistically significant"
"AVERAGE_Mg_FW_mg_per_100_g",26.9246258503401,0.0293565050373053,"significant",18.3704304267162,0.0490273589606446,"significant",47.7551020408163,0.401268932050639,"not statistically significant",180,0.360973797337629,"not statistically significant"
